d, L, x, T, w_AA, w_BB, w_AB, U
1.0, 5.0, 0.0, 0.001, -1.0, -1.0, -1.0, -5.0
1.0, 5.0, 0.0, 0.001, -1.0, -1.0, 1.0, -5.0
1.0, 5.0, 0.0, 0.001, -1.0, 1.0, -1.0, -5.0
1.0, 5.0, 0.0, 0.001, -1.0, 1.0, 1.0, -5.0
1.0, 5.0, 0.0, 0.001, 1.0, -1.0, -1.0, 5.0
1.0, 5.0, 0.0, 0.001, 1.0, -1.0, 1.0, 5.0
1.0, 5.0, 0.0, 0.001, 1.0, 1.0, -1.0, 5.0
1.0, 5.0, 0.0, 0.001, 1.0, 1.0, 1.0, 5.0
1.0, 5.0, 0.0, 1000000.0, -1.0, -1.0, -1.0, -5.0
1.0, 5.0, 0.0, 1000000.0, -1.0, -1.0, 1.0, -5.0
1.0, 5.0, 0.0, 1000000.0, -1.0, 1.0, -1.0, -5.0
1.0, 5.0, 0.0, 1000000.0, -1.0, 1.0, 1.0, -5.0
1.0, 5.0, 0.0, 1000000.0, 1.0, -1.0, -1.0, 5.0
1.0, 5.0, 0.0, 1000000.0, 1.0, -1.0, 1.0, 5.0
1.0, 5.0, 0.0, 1000000.0, 1.0, 1.0, -1.0, 5.0
1.0, 5.0, 0.0, 1000000.0, 1.0, 1.0, 1.0, 5.0
1.0, 5.0, 0.5, 0.001, -1.0, -1.0, -1.0, -5.0
1.0, 5.0, 0.5, 0.001, -1.0, -1.0, 1.0, -1.0
1.0, 5.0, 0.5, 0.001, -1.0, 1.0, -1.0, -3.9998000399920017
1.0, 5.0, 0.5, 0.001, -1.0, 1.0, 1.0, 2.000099990001
1.0, 5.0, 0.5, 0.001, 1.0, -1.0, -1.0, -1.999900009999
1.0, 5.0, 0.5, 0.001, 1.0, -1.0, 1.0, 3.0
1.0, 5.0, 0.5, 0.001, 1.0, 1.0, -1.0, -3.0
1.0, 5.0, 0.5, 0.001, 1.0, 1.0, 1.0, 5.0
1.0, 5.0, 0.5, 1000000.0, -1.0, -1.0, -1.0, -5.0
1.0, 5.0, 0.5, 1000000.0, -1.0, -1.0, 1.0, 1.987270127298727
1.0, 5.0, 0.5, 1000000.0, -1.0, 1.0, -1.0, -4.503234967650323
1.0, 5.0, 0.5, 1000000.0, -1.0, 1.0, 1.0, 2.4965050349496507
1.0, 5.0, 0.5, 1000000.0, 1.0, -1.0, -1.0, -1.5006149938500615
1.0, 5.0, 0.5, 1000000.0, 1.0, -1.0, 1.0, 4.494555054449456
1.0, 5.0, 0.5, 1000000.0, 1.0, 1.0, -1.0, -2.012229877701223
1.0, 5.0, 0.5, 1000000.0, 1.0, 1.0, 1.0, 5.0
3.0, 5.0, 0.0, 0.001, -1.0, -1.0, -1.0, -375.0
