z,x,beta,w_AA,w_BB,w_AB,U_hat,m_AB_hat
2,0.0,11604966.92584426,-1.0,-1.0,-1.0,-1.0,0.0
2,0.0,11604966.92584426,-1.0,-1.0,1.0,-1.0,0.0
2,0.0,11604966.92584426,-1.0,1.0,-1.0,-1.0,-0.0
2,0.0,11604966.92584426,-1.0,1.0,1.0,-1.0,0.0
2,0.0,11604966.92584426,1.0,-1.0,-1.0,1.0,-0.0
2,0.0,11604966.92584426,1.0,-1.0,1.0,1.0,0.0
2,0.0,11604966.92584426,1.0,1.0,-1.0,1.0,-0.0
2,0.0,11604966.92584426,1.0,1.0,1.0,1.0,0.0
2,0.0,0.0116049669258442,-1.0,-1.0,-1.0,-1.0,0.0
2,0.0,0.0116049669258442,-1.0,-1.0,1.0,-1.0,0.0
2,0.0,0.0116049669258442,-1.0,1.0,-1.0,-1.0,-0.0
2,0.0,0.0116049669258442,-1.0,1.0,1.0,-1.0,0.0
2,0.0,0.0116049669258442,1.0,-1.0,-1.0,1.0,-0.0
2,0.0,0.0116049669258442,1.0,-1.0,1.0,1.0,0.0
2,0.0,0.0116049669258442,1.0,1.0,-1.0,1.0,-0.0
2,0.0,0.0116049669258442,1.0,1.0,1.0,1.0,0.0
2,0.4,11604966.92584426,-1.0,-1.0,-1.0,-1.0,0.24
2,0.4,11604966.92584426,-1.0,-1.0,1.0,-0.2,0.4
2,0.4,11604966.92584426,-1.0,1.0,-1.0,-0.7999600079984004,0.5999600079984004
2,0.4,11604966.92584426,-1.0,1.0,1.0,0.4000266648890074,0.6000266648890074
2,0.4,11604966.92584426,1.0,-1.0,-1.0,-0.3999800019998,0.5999800019998
2,0.4,11604966.92584426,1.0,-1.0,1.0,0.6,0.4
2,0.4,11604966.92584426,1.0,1.0,-1.0,-0.1999911113086376,0.5999955556543188
2,0.4,11604966.92584426,1.0,1.0,1.0,1.0,0.24
2,0.4,0.0116049669258442,-1.0,-1.0,-1.0,-1.0,0.24
2,0.4,0.0116049669258442,-1.0,-1.0,1.0,0.397641011794941,0.6988205058974705
2,0.4,0.0116049669258442,-1.0,1.0,-1.0,-0.700477497612512,0.500477497612512
2,0.4,0.0116049669258442,-1.0,1.0,1.0,0.4995785021074894,0.6995785021074894
2,0.4,0.0116049669258442,1.0,-1.0,-1.0,-0.5008754956225219,0.7008754956225218
2,0.4,0.0116049669258442,1.0,-1.0,1.0,0.6993545032274839,0.499354503227484
2,0.4,0.0116049669258442,1.0,1.0,-1.0,-0.4019549902250489,0.7009774951125245
2,0.4,0.0116049669258442,1.0,1.0,1.0,1.0,0.24
6,0.0,11604966.92584426,-1.0,-1.0,-1.0,-3.0,0.0
6,0.0,11604966.92584426,-1.0,-1.0,1.0,-3.0,0.0
6,0.0,11604966.92584426,-1.0,1.0,-1.0,-3.0,-0.0
6,0.0,11604966.92584426,-1.0,1.0,1.0,-3.0,0.0
6,0.0,11604966.92584426,1.0,-1.0,-1.0,3.0,-0.0
6,0.0,11604966.92584426,1.0,-1.0,1.0,3.0,0.0
6,0.0,11604966.92584426,1.0,1.0,-1.0,3.0,-0.0
6,0.0,11604966.92584426,1.0,1.0,1.0,3.0,0.0
6,0.0,0.0116049669258442,-1.0,-1.0,-1.0,-3.0,0.0
6,0.0,0.0116049669258442,-1.0,-1.0,1.0,-3.0,0.0
6,0.0,0.0116049669258442,-1.0,1.0,-1.0,-3.0,-0.0
6,0.0,0.0116049669258442,-1.0,1.0,1.0,-3.0,0.0
6,0.0,0.0116049669258442,1.0,-1.0,-1.0,3.0,-0.0
6,0.0,0.0116049669258442,1.0,-1.0,1.0,3.0,0.0
6,0.0,0.0116049669258442,1.0,1.0,-1.0,3.0,-0.0
6,0.0,0.0116049669258442,1.0,1.0,1.0,3.0,0.0
6,0.496,11604966.92584426,-1.0,-1.0,-1.0,-3.0,0.249984
6,0.496,11604966.92584426,-1.0,-1.0,1.0,-0.7579628101859491,1.1210185949070255
6,0.496,11604966.92584426,-1.0,1.0,-1.0,-1.9981673296148967,1.9741673296148967
6,0.496,11604966.92584426,-1.0,1.0,1.0,1.0338907119206524,1.0578907119206524
6,0.496,11604966.92584426,1.0,-1.0,-1.0,-2.0133006485528986,2.0373006485528986
6,0.496,11604966.92584426,1.0,-1.0,1.0,1.0503641410868714,1.0263641410868714
6,0.496,11604966.92584426,1.0,1.0,-1.0,-0.854756406217969,1.9273782031089848
6,0.496,11604966.92584426,1.0,1.0,1.0,3.0,0.249984
6,0.496,0.0116049669258442,-1.0,-1.0,-1.0,-3.0,0.249984
6,0.496,0.0116049669258442,-1.0,-1.0,1.0,-0.0246893565532172,1.4876553217233914
6,0.496,0.0116049669258442,-1.0,1.0,-1.0,-1.5977006914965426,1.5737006914965426
6,0.496,0.0116049669258442,-1.0,1.0,1.0,1.5299801100994497,1.5539801100994497
6,0.496,0.0116049669258442,1.0,-1.0,-1.0,-1.462239808800956,1.486239808800956
6,0.496,0.0116049669258442,1.0,-1.0,1.0,1.4821440292798536,1.4581440292798535
6,0.496,0.0116049669258442,1.0,1.0,-1.0,-0.1044256778716106,1.5522128389358052
6,0.496,0.0116049669258442,1.0,1.0,1.0,3.0,0.249984
2,0.0,11604966.92584426,-1.0,-1.0,-1.0,-1.0,0.0
2,0.0,11604966.92584426,-1.0,-1.0,1.0,-1.0,0.0
2,0.0,11604966.92584426,-1.0,1.0,-1.0,-1.0,-0.0
2,0.0,11604966.92584426,-1.0,1.0,1.0,-1.0,0.0
2,0.0,11604966.92584426,1.0,-1.0,-1.0,1.0,-0.0
2,0.0,11604966.92584426,1.0,-1.0,1.0,1.0,0.0
2,0.0,11604966.92584426,1.0,1.0,-1.0,1.0,-0.0
2,0.0,11604966.92584426,1.0,1.0,1.0,1.0,0.0
2,0.0,0.0116049669258442,-1.0,-1.0,-1.0,-1.0,0.0
2,0.0,0.0116049669258442,-1.0,-1.0,1.0,-1.0,0.0
2,0.0,0.0116049669258442,-1.0,1.0,-1.0,-1.0,-0.0
2,0.0,0.0116049669258442,-1.0,1.0,1.0,-1.0,0.0
2,0.0,0.0116049669258442,1.0,-1.0,-1.0,1.0,-0.0
2,0.0,0.0116049669258442,1.0,-1.0,1.0,1.0,0.0
2,0.0,0.0116049669258442,1.0,1.0,-1.0,1.0,-0.0
2,0.0,0.0116049669258442,1.0,1.0,1.0,1.0,0.0
2,0.5,11604966.92584426,-1.0,-1.0,-1.0,-1.0,0.25
2,0.5,11604966.92584426,-1.0,-1.0,1.0,-0.4375968120159399,0.28120159399203
2,0.5,11604966.92584426,-1.0,1.0,-1.0,-0.7120805433556532,0.7120805433556532
2,0.5,11604966.92584426,-1.0,1.0,1.0,0.2343055284723576,0.2343055284723576
2,0.5,11604966.92584426,1.0,-1.0,-1.0,-0.7754509004676146,0.7754509004676146
2,0.5,11604966.92584426,1.0,-1.0,1.0,0.245122874385628,0.245122874385628
2,0.5,11604966.92584426,1.0,1.0,-1.0,-0.5352393238033809,0.7676196619016904
2,0.5,11604966.92584426,1.0,1.0,1.0,1.0,0.25
2,0.5,0.0116049669258442,-1.0,-1.0,-1.0,-1.0,0.25
2,0.5,0.0116049669258442,-1.0,-1.0,1.0,0.042283288583557,0.5211416442917784
2,0.5,0.0116049669258442,-1.0,1.0,-1.0,-0.5029756851215744,0.5029756851215744
2,0.5,0.0116049669258442,-1.0,1.0,1.0,0.491798941005295,0.491798941005295
2,0.5,0.0116049669258442,1.0,-1.0,-1.0,-0.5428540357298214,0.5428540357298214
2,0.5,0.0116049669258442,1.0,-1.0,1.0,0.5215038424807876,0.5215038424807876
2,0.5,0.0116049669258442,1.0,1.0,-1.0,-0.048681956590217,0.5243409782951085
2,0.5,0.0116049669258442,1.0,1.0,1.0,1.0,0.25
6,0.0,11604966.92584426,-1.0,-1.0,-1.0,-3.0,0.0
6,0.0,11604966.92584426,-1.0,-1.0,1.0,-3.0,0.0
