d,L,x,T,w_AA,w_BB,w_AB,U,z,N,beta,x_actual,U_hat,m_AB_hat,m_AB_hat_fixed
1,5,0.0,0.001,-1.0,-1.0,-1.0,-5.0,2,5,11604966.92584426,0.0,-1.0,-inf,0.0
1,5,0.0,0.001,-1.0,-1.0,1.0,-5.0,2,5,11604966.92584426,0.0,-1.0,-2.0,-2.0
1,5,0.0,0.001,-1.0,1.0,-1.0,-5.0,2,5,11604966.92584426,0.0,-1.0,4.0,4.0
1,5,0.0,0.001,-1.0,1.0,1.0,-5.0,2,5,11604966.92584426,0.0,-1.0,-4.0,-4.0
1,5,0.0,0.001,1.0,-1.0,-1.0,5.0,2,5,11604966.92584426,0.0,1.0,-4.0,-4.0
1,5,0.0,0.001,1.0,-1.0,1.0,5.0,2,5,11604966.92584426,0.0,1.0,4.0,4.0
1,5,0.0,0.001,1.0,1.0,-1.0,5.0,2,5,11604966.92584426,0.0,1.0,-2.0,-2.0
1,5,0.0,0.001,1.0,1.0,1.0,5.0,2,5,11604966.92584426,0.0,1.0,inf,0.0
1,5,0.0,1000000.0,-1.0,-1.0,-1.0,-5.0,2,5,0.0116049669258442,0.0,-1.0,-inf,0.0
1,5,0.0,1000000.0,-1.0,-1.0,1.0,-5.0,2,5,0.0116049669258442,0.0,-1.0,-2.0,-2.0
1,5,0.0,1000000.0,-1.0,1.0,-1.0,-5.0,2,5,0.0116049669258442,0.0,-1.0,4.0,4.0
1,5,0.0,1000000.0,-1.0,1.0,1.0,-5.0,2,5,0.0116049669258442,0.0,-1.0,-4.0,-4.0
1,5,0.0,1000000.0,1.0,-1.0,-1.0,5.0,2,5,0.0116049669258442,0.0,1.0,-4.0,-4.0
1,5,0.0,1000000.0,1.0,-1.0,1.0,5.0,2,5,0.0116049669258442,0.0,1.0,4.0,4.0
1,5,0.0,1000000.0,1.0,1.0,-1.0,5.0,2,5,0.0116049669258442,0.0,1.0,-2.0,-2.0
1,5,0.0,1000000.0,1.0,1.0,1.0,5.0,2,5,0.0116049669258442,0.0,1.0,inf,0.0
1,5,0.5,0.001,-1.0,-1.0,-1.0,-5.0,2,5,11604966.92584426,0.4,-1.0,-inf,0.24
1,5,0.5,0.001,-1.0,-1.0,1.0,-1.0,2,5,11604966.92584426,0.4,-0.2,0.0,0.0
1,5,0.5,0.001,-1.0,1.0,-1.0,-3.9998000399920017,2,5,11604966.92584426,0.4,-0.7999600079984004,3.799800039992002,3.799800039992002
1,5,0.5,0.001,-1.0,1.0,1.0,2.000133324445037,2,5,11604966.92584426,0.4,0.4000266648890074,2.200133324445037,2.200133324445037
1,5,0.5,0.001,1.0,-1.0,-1.0,-1.999900009999,2,5,11604966.92584426,0.4,-0.3999800019998,2.1999000099990003,2.1999000099990003
1,5,0.5,0.001,1.0,-1.0,1.0,3.0,2,5,11604966.92584426,0.4,0.6,2.8,2.8
1,5,0.5,0.001,1.0,1.0,-1.0,-0.999955556543188,2,5,11604966.92584426,0.4,-0.1999911113086376,0.999977778271594,0.999977778271594
1,5,0.5,0.001,1.0,1.0,1.0,5.0,2,5,11604966.92584426,0.4,1.0,inf,0.24
1,5,0.5,1000000.0,-1.0,-1.0,-1.0,-5.0,2,5,0.0116049669258442,0.4,-1.0,-inf,0.24
1,5,0.5,1000000.0,-1.0,-1.0,1.0,1.988205058974705,2,5,0.0116049669258442,0.4,0.397641011794941,1.4941025294873524,1.4941025294873524
1,5,0.5,1000000.0,-1.0,1.0,-1.0,-3.50238748806256,2,5,0.0116049669258442,0.4,-0.700477497612512,3.30238748806256,3.30238748806256
1,5,0.5,1000000.0,-1.0,1.0,1.0,2.497892510537447,2,5,0.0116049669258442,0.4,0.4995785021074894,2.6978925105374474,2.6978925105374474
1,5,0.5,1000000.0,1.0,-1.0,-1.0,-2.5043774781126094,2,5,0.0116049669258442,0.4,-0.5008754956225219,2.704377478112609,2.704377478112609
1,5,0.5,1000000.0,1.0,-1.0,1.0,3.4967725161374195,2,5,0.0116049669258442,0.4,0.6993545032274839,3.29677251613742,3.29677251613742
1,5,0.5,1000000.0,1.0,1.0,-1.0,-2.0097749511252445,2,5,0.0116049669258442,0.4,-0.4019549902250489,1.5048874755626225,1.5048874755626225
1,5,0.5,1000000.0,1.0,1.0,1.0,5.0,2,5,0.0116049669258442,0.4,1.0,inf,0.24
3,5,0.0,0.001,-1.0,-1.0,-1.0,-375.0,6,125,11604966.92584426,0.0,-3.0,-inf,0.0
3,5,0.0,0.001,-1.0,-1.0,1.0,-375.0,6,125,11604966.92584426,0.0,-3.0,-186.0,-186.0
3,5,0.0,0.001,-1.0,1.0,-1.0,-375.0,6,125,11604966.92584426,0.0,-3.0,372.0,372.0
3,5,0.0,0.001,-1.0,1.0,1.0,-375.0,6,125,11604966.92584426,0.0,-3.0,-372.0,-372.0
3,5,0.0,0.001,1.0,-1.0,-1.0,375.0,6,125,11604966.92584426,0.0,3.0,-372.0,-372.0
3,5,0.0,0.001,1.0,-1.0,1.0,375.0,6,125,11604966.92584426,0.0,3.0,372.0,372.0
3,5,0.0,0.001,1.0,1.0,-1.0,375.0,6,125,11604966.92584426,0.0,3.0,-186.0,-186.0
3,5,0.0,0.001,1.0,1.0,1.0,375.0,6,125,11604966.92584426,0.0,3.0,inf,0.0
3,5,0.0,1000000.0,-1.0,-1.0,-1.0,-375.0,6,125,0.0116049669258442,0.0,-3.0,-inf,0.0
3,5,0.0,1000000.0,-1.0,-1.0,1.0,-375.0,6,125,0.0116049669258442,0.0,-3.0,-186.0,-186.0
3,5,0.0,1000000.0,-1.0,1.0,-1.0,-375.0,6,125,0.0116049669258442,0.0,-3.0,372.0,372.0
3,5,0.0,1000000.0,-1.0,1.0,1.0,-375.0,6,125,0.0116049669258442,0.0,-3.0,-372.0,-372.0
3,5,0.0,1000000.0,1.0,-1.0,-1.0,375.0,6,125,0.0116049669258442,0.0,3.0,-372.0,-372.0
3,5,0.0,1000000.0,1.0,-1.0,1.0,375.0,6,125,0.0116049669258442,0.0,3.0,372.0,372.0
3,5,0.0,1000000.0,1.0,1.0,-1.0,375.0,6,125,0.0116049669258442,0.0,3.0,-186.0,-186.0
3,5,0.0,1000000.0,1.0,1.0,1.0,375.0,6,125,0.0116049669258442,0.0,3.0,inf,0.0
3,5,0.5,0.001,-1.0,-1.0,-1.0,-375.0,6,125,11604966.92584426,0.496,-3.0,-inf,0.249984
3,5,0.5,0.001,-1.0,-1.0,1.0,-94.74535127324364,6,125,11604966.92584426,0.496,-0.7579628101859491,-45.87267563662182,-45.87267563662182
3,5,0.5,0.001,-1.0,1.0,-1.0,-249.7709162018621,6,125,11604966.92584426,0.496,-1.9981673296148967,249.7469162018621,249.7469162018621
3,5,0.5,0.001,-1.0,1.0,1.0,129.23633899008155,6,125,11604966.92584426,0.496,1.0338907119206524,129.26033899008155,129.26033899008155
3,5,0.5,0.001,1.0,-1.0,-1.0,-251.66258106911232,6,125,11604966.92584426,0.496,-2.0133006485528986,251.68658106911232,251.68658106911232
3,5,0.5,0.001,1.0,-1.0,1.0,131.29551763585891,6,125,11604966.92584426,0.496,1.0503641410868714,131.2715176358589,131.2715176358589
3,5,0.5,0.001,1.0,1.0,-1.0,-106.84455077724613,6,125,11604966.92584426,0.496,-0.854756406217969,54.92227538862306,54.92227538862306
3,5,0.5,0.001,1.0,1.0,1.0,375.0,6,125,11604966.92584426,0.496,3.0,inf,0.249984
3,5,0.5,1000000.0,-1.0,-1.0,-1.0,-375.0,6,125,0.0116049669258442,0.496,-3.0,-inf,0.249984
3,5,0.5,1000000.0,-1.0,-1.0,1.0,-3.0861695691521542,6,125,0.0116049669258442,0.496,-0.0246893565532172,-0.0430847845760771,-0.0430847845760771
3,5,0.5,1000000.0,-1.0,1.0,-1.0,-199.7125864370678,6,125,0.0116049669258442,0.496,-1.5977006914965426,199.6885864370678,199.6885864370678
3,5,0.5,1000000.0,-1.0,1.0,1.0,191.2475137624312,6,125,0.0116049669258442,0.496,1.5299801100994497,191.2715137624312,191.2715137624312
3,5,0.5,1000000.0,1.0,-1.0,-1.0,-182.7799761001195,6,125,0.0116049669258442,0.496,-1.462239808800956,182.8039761001195,182.8039761001195
3,5,0.5,1000000.0,1.0,-1.0,1.0,185.2680036599817,6,125,0.0116049669258442,0.496,1.4821440292798536,185.2440036599817,185.2440036599817
3,5,0.5,1000000.0,1.0,1.0,-1.0,-13.05320973395133,6,125,0.0116049669258442,0.496,-0.1044256778716106,8.026604866975665,8.026604866975665
3,5,0.5,1000000.0,1.0,1.0,1.0,375.0,6,125,0.0116049669258442,0.496,3.0,inf,0.249984
1,100,0.0,0.001,-1.0,-1.0,-1.0,-100.0,2,100,11604966.92584426,0.0,-1.0,-inf,0.0
1,100,0.0,0.001,-1.0,-1.0,1.0,-100.0,2,100,11604966.92584426,0.0,-1.0,-49.5,-49.5
1,100,0.0,0.001,-1.0,1.0,-1.0,-100.0,2,100,11604966.92584426,0.0,-1.0,99.0,99.0
1,100,0.0,0.001,-1.0,1.0,1.0,-100.0,2,100,11604966.92584426,0.0,-1.0,-99.0,-99.0
1,100,0.0,0.001,1.0,-1.0,-1.0,100.0,2,100,11604966.92584426,0.0,1.0,-99.0,-99.0
1,100,0.0,0.001,1.0,-1.0,1.0,100.0,2,100,11604966.92584426,0.0,1.0,99.0,99.0
1,100,0.0,0.001,1.0,1.0,-1.0,100.0,2,100,11604966.92584426,0.0,1.0,-49.5,-49.5
1,100,0.0,0.001,1.0,1.0,1.0,100.0,2,100,11604966.92584426,0.0,1.0,inf,0.0
1,100,0.0,1000000.0,-1.0,-1.0,-1.0,-100.0,2,100,0.0116049669258442,0.0,-1.0,-inf,0.0
1,100,0.0,1000000.0,-1.0,-1.0,1.0,-100.0,2,100,0.0116049669258442,0.0,-1.0,-49.5,-49.5
1,100,0.0,1000000.0,-1.0,1.0,-1.0,-100.0,2,100,0.0116049669258442,0.0,-1.0,99.0,99.0
