d, L, x, T, w_AA, w_BB, w_AB, U
3.0, 51.0, 0.29932281890639467, 39948.74581946605, -0.5824727807953565, 0.7871198445051855, -0.4868084329457252, -167127.23144244115
1.0, 57.0, 0.2140298086087627, 885130.7216345653, 0.5012302224113783, -0.5834434920280105, -0.4021616606812253, 8.82040456618947
3.0, 65.0, 0.4255876967321222, 0.24505213292381137, 0.2531042331822573, 0.2173008539500294, 0.9426708655472411, 479590.287957596
2.0, 45.0, 0.2184185960011203, 90.61482752550663, -0.1432485017980214, -0.7781461465353814, -0.3443388651322219, -1034.4923417273162
3.0, 96.0, 0.492837569001939, 0.04500330187101215, -0.4819960181993199, -0.8530493684761109, 0.36528241234192604, -395356.2535371251
3.0, 91.0, 0.3133097077733724, 0.0038132507691688252, -0.4361585605306242, 0.11654240002661065, 0.6818741943184841, 223848.90854827245
2.0, 20.0, 0.03578498607158531, 0.012071880549818417, -0.10654763205710327, -0.26874782220625004, -0.23615577290572576, -92.39911634264975
3.0, 74.0, 0.2744674958627434, 0.3988975721306785, -0.881041986545051, 0.7442673419004562, 0.19121318767905104, -403361.05694020377
3.0, 58.0, 0.3934394590516016, 3639.983123367846, -0.8784633312306784, 0.8906234938980166, 0.009178237708738601, -105919.51866305324
3.0, 49.0, 0.39092521057671276, 1.1210960079900683, -0.23550202982707447, 0.5131148235647416, 0.8472918699980527, 122092.77092063277
2.0, 30.0, 0.47181579910880345, 0.14650217042965702, 0.7740767237080743, 0.28963142239342976, -0.791694559694879, -715.4581277975045
1.0, 97.0, 0.3623461050235858, 5246.869291515204, 0.1663265841366992, 0.3280833661827869, 0.7799235195610013, 40.69974505729734
1.0, 67.0, 0.0495034920152117, 129368.35709354463, -0.46016748194910706, -0.5333719515387798, -0.5502053457827139, -31.366704338560183
1.0, 70.0, 0.45084012154825154, 0.0028080474787303953, 0.5974812790859996, 0.2404063755822916, -0.8534746867913074, -31.910596592989116
2.0, 85.0, 0.13315297397911324, 106.63859776174476, 0.6317590914110833, 0.973827926658851, 0.07367495884463793, 7186.519598875057
1.0, 62.0, 0.08058474770505342, 0.05505515067450015, -0.21075653572431152, -0.12443360209034737, -0.6836619461288118, -17.795959318952317
2.0, 99.0, 0.4119419141433587, 22.665768727039946, 0.9037011544543294, 0.5846156149925448, -0.3686951775404632, 1256.698753619582
3.0, 76.0, 0.15713468248790968, 159931.14595963413, -0.9362564249271728, -0.5009020863252307, 0.7020174545807494, -647452.345012123
1.0, 57.0, 0.1750637513131429, 1073.108100524802, 0.24353429059059617, 0.7548776065158267, 0.49075838433301344, 18.846694710198392
2.0, 66.0, 0.4009233185760192, 0.007197710656689254, -0.2016016269004981, 0.09635121144900749, 0.7167880530153379, 1287.2126866067701
2.0, 22.0, 0.2539414080180091, 0.002287615505844818, -0.32577884026498904, 0.6504393582204926, 0.3286697751422063, -40.65714625777612
3.0, 26.0, 0.4632130746829883, 387918.9131940736, -0.2817335967787675, -0.027445591209908304, 0.1131933337098916, -1594.9387074209722
2.0, 35.0, 0.21401526975906737, 1.0106742532557564, -0.7509227295104128, -0.9410338739859094, 0.6330081194736954, -1204.6794127944538
1.0, 98.0, 0.1298278987986542, 0.24639461389460965, 0.03494186931781185, -0.014252821453162756, 0.6738049688155174, 11.43591890776601
3.0, 40.0, 0.24795824052858695, 32.995313833940905, -0.5926338383566803, 0.827240629341889, 0.013363675817450016, -53770.04018493336
3.0, 35.0, 0.016494144232206076, 7.85174353405463, 0.9441793469091468, -0.6212616010759218, -0.9516172866455912, 113443.0891252235
2.0, 70.0, 0.07390679781506554, 0.02265600415483156, 0.6099826008927125, -0.9457261304099651, -0.04758470896098177, 4989.816619886473
1.0, 35.0, 0.4788196126419869, 0.0012000750400140722, 0.11594591019245426, 0.18044469170919286, 0.2714081009995568, 6.517220849063168
1.0, 41.0, 0.06606074313990823, 135367.37392199747, -0.9445670889948548, 0.8162975301953215, 0.448144322454439, -30.450150956846013
1.0, 85.0, 0.16486370879086432, 9.542496428959483, -0.47527059418372475, 0.010047946371552152, -0.7315631001248863, -46.5724958442873
2.0, 73.0, 0.2471821294809043, 0.39980511871946206, 0.22371941589961275, -0.6942990032649223, 0.8277423162422066, 2621.173502004624
1.0, 78.0, 0.12396553813653155, 1059.5460750230027, -0.22643318078528862, -0.8935896312791718, -0.3338133886050072, -21.089535328768054
2.0, 80.0, 0.15989557081135275, 7717.639089977095, -0.3950923339414887, -0.5920445531874219, -0.5604253382817139, -5692.132494389481
3.0, 37.0, 0.41742550453982086, 24.778480784623177, -0.3673370464691226, -0.04933747274161693, -0.49696235113417875, -61130.59260489636
2.0, 62.0, 0.3475077066311436, 0.014276653598307276, -0.4338711127514543, -0.6596285923566085, 0.8850354487462213, -907.2487484870754
